品牌,面板材质,品位,卷弦器,指板材质,背侧板材质,尺寸,型号,价格区间,颜色,产地,材质,重量
aNueNue/彩虹人,相思木,20,半封闭旋钮,玫瑰木,相思木,23英寸 26英寸,MTL,3001-10000元,三色,国内,胡桃木,1000g
enya（乐器）,云杉木,18 20,封闭旋钮,其他,桃花心木,21英寸 23英寸 26英寸,EA-X1,501-1000元,黑, ,亚克力, 
TOM,桃花心木,12 15 18 20 其他,其他,紫檀,夏威夷相思木,23英寸,EA/M-X2,1001-3000元, , ,桃花心木, 
 ,夏威夷相思木,15, ,乌木,玫瑰木,21英寸 23英寸,Q1,10001-20000元, , ,枫木, 
 ,枫木,18, ,科技乌木,沙比利,21英寸,T05A, , , , , 
 ,其他,12 15 18 其他, , ,枫木,26英寸,T-05, , , , , 
 ,粉色HPL,15 18, , ,HPL相思木,141x126x27mm,X1pro, , , , , 
 ,夏威夷相思木单板,18 21, , ,其他,23英寸 26英寸 21英寸,X2 PRO, , , , , 
 ,乌木,15 18 20, , ,粉色HPL,26英寸 23英寸,花海, , , , , 
 ,碳纤维,18 20 21, , ,夏威夷相思木单板,130x180x40mm,T10S, , , , , 
 ,沙比利,21, , ,碳纤维, ,ENYA-T10, , , , , 
 ,杉木,22, , , , ,NOVA GO, , , , , 
 ,红松木,其他, , , , ,Q1M, , , , , 
 , ,18 其他, , , , ,王欣宇定制款, , , , , 
 , , , , , , ,演奏凳, , , , , 
 , , , , , , ,T1M, , , , , 
 , , , , , , ,T1R, , , , , 
 , , , , , , ,T, , , , , 
 , , , , , , ,TK-R1, , , , , 
 , , , , , , ,TK-CT, , , , , 
 , , , , , , ,TY-1, , , , , 
 , , , , , , ,TK-R, , , , , 
 , , , , , , ,TK-C1, , , , , 
